7zip 26.01-1.1
a52dec 0.8.0-3.1
aalib 1.4rc5-19.1
abseil-cpp 20260107.1-1.1
accounts-qml-module 0.7-7.1
accountsservice 26.13.3-1.1
acl 2.3.2-2.1
ada 3.4.4-1.1
adw-gtk-theme-git 6.5.r2.gde0d168-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.17.0-1.2
alsa-card-profiles 1:1.6.4-1.1
alsa-firmware 1.2.4-4
alsa-lib 1.2.15.3-2.1
alsa-plugins 1:1.2.12-5.1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2.1
ananicy-cpp 1.2.0-1.1
aom 3.13.3-1.1
appstream 1.1.2-1.1
appstream-qt 1.1.2-1.1
aquamarine 0.11.0-2.1
archlinux-appstream-data 20260421-1
archlinux-contrib 20260425-1
archlinux-keyring 20260420-1
argon2 20190702-6.2
aribb24 1.0.3-4.1
aribb25 0.2.7-3.1
ark 26.04.0-1.1
asciiquarium-transparent-git r39.4a8eccc-1
at-spi2-core 2.60.2-1.1
atkmm 2.28.4-2.1
attica 6.25.0-1.1
attr 2.5.2-2.1
audit 4.1.4-2.1
aurorae 6.6.4-1.1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1.1
awesome-terminal-fonts 1.1.0-5
awww 0.12.0-1.1
ayatana-ido 0.10.4-1.1
baloo 6.25.0-1.1
baloo-widgets 26.04.0-1.1
base 3-3
base-devel 1-2
bash 5.3.9-2
bash-completion 2.17.0-3
bat 0.26.1-2.1
bc 1.08.2-1.1
bcc 0.36.1-3.1
bind 9.20.22-1.1
binutils 2.46-2
bison 3.8.2-8.1
blas 3.12.1-2.1
bluedevil 1:6.6.4-1
bluez 5.86-5.1
bluez-hid2hci 5.86-5.1
bluez-libs 5.86-5.1
bluez-obex 5.86-5.1
bluez-qt 6.25.0-1.1
bluez-utils 5.86-5.1
boost-libs 1.91.0-1.1
bottles 2:63.2-1
bpf 7.0.2-1
breeze 6.6.4-1.1
breeze-cursors 6.6.4-1.1
breeze-icons 6.25.0-1.1
breeze-plus 6.2.5-1
brightnessctl 0.5.1-3
brotli 1.2.0-1.1
btop 1.4.7-1.1
btrfs-assistant 2.2-5.1
btrfs-progs 6.19.1-1
bubblewrap 0.11.2-1.1
bzip2 1.0.8-6.1
c-ares 1.34.6-1.1
ca-certificates 20240618-1
ca-certificates-mozilla 3.123.1-1.1
ca-certificates-utils 20240618-1
cabextract 1.11-2.1
cachy-update 3.19.3-1
cachyos-ananicy-rules 1:1.1.35-1
cachyos-fish-config 15-1
cachyos-gaming-meta 1:1.0.0-7
cachyos-hello 0.24.0-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.17.0-1
cachyos-keyring 20240331-1
